time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol,currency
1617642360,49865.72,49836.0,49863.53,2.879,143509.13,49838.76,direct,,EUR
1617642420,49839.99,49828.42,49838.76,4.811,239755.1,49832.19,direct,,EUR
1617642480,49838.37,49825.51,49832.19,24.08,1200029.98,49829.95,direct,,EUR
1617642540,49832.99,49804.47,49829.95,4.984,248356.64,49807.53,direct,,EUR
1617642600,49814.26,49768.26,49807.53,21.28,1060192.23,49771.69,direct,,EUR
1617642660,49793.35,49763.26,49771.69,14.51,722285.48,49773.09,direct,,EUR
1617642720,49833.36,49771.83,49773.09,10.29,512766.35,49829.58,direct,,EUR
1617642780,49830.34,49794.87,49829.58,3.442,171485.89,49798.89,direct,,EUR
1617642840,49798.89,49772.74,49798.89,20.76,1033061.51,49789.12,direct,,EUR
1617642900,49818.01,49787.26,49789.12,13.58,676033.4,49803.45,direct,,EUR
1617642960,49810.52,49772.13,49803.45,13.27,660432.1,49772.13,direct,,EUR
1617643020,49774.82,49761.24,49772.13,2.676,133100.32,49769.39,direct,,EUR
1617643080,49769.52,49745.09,49769.39,5.314,264187.67,49745.09,direct,,EUR
1617643140,49784.76,49744.59,49745.09,6.889,342837.27,49771.94,direct,,EUR
1617643200,49771.94,49689.23,49771.94,13.73,682234.51,49694.11,direct,,EUR
1617643260,49774.13,49694.11,49694.11,2.536,126161.32,49766.55,direct,,EUR
1617643320,49785.25,49764.18,49766.55,1.499,74650.66,49783.98,direct,,EUR
1617643380,49787.07,49767.68,49783.98,3.5300000000000002,175700.05,49776.08,direct,,EUR
1617643440,49784.63,49765.07,49776.08,1.621,80688.16,49773.4,direct,,EUR
1617643500,49779.2,49768.74,49773.4,2.188,108915.07,49772.26,direct,,EUR
1617643560,49772.26,49755.89,49772.26,2.691,133824.19,49758.79,direct,,EUR
1617643620,49758.79,49717.95,49758.79,2.255,112138.36,49719.17,direct,,EUR
1617643680,49720.85,49637.81,49719.17,16.49,818945.57,49655.38,direct,,EUR
1617643740,49712.74,49653.22,49655.38,6.696,332800.74,49709.28,direct,,EUR
1617643800,49712.37,49640.03,49709.28,14.51,720766.36,49641.25,direct,,EUR
1617643860,49642.6,49600.5,49641.25,13.71,679716.54,49601.25,direct,,EUR
1617643920,49639.69,49590.48,49601.25,19.17,951165.47,49639.28,direct,,EUR
1617643980,49654.78,49639.28,49639.28,4.578,227328.42,49642.22,direct,,EUR
1617644040,49695.96,49637.04,49642.22,11.11,552418.92,49686.89,direct,,EUR
1617644100,49688.69,49644.68,49686.89,3.35,166372.99,49678.36,direct,,EUR
1617644160,49708.2,49673.2,49678.36,5.807,288628.17,49707.38,direct,,EUR
1617644220,49724.56,49701.1,49707.38,6.602,328184.61,49719.76,direct,,EUR
1617644280,49726.8,49717.29,49719.76,5.612,279050.74,49719.58,direct,,EUR
1617644340,49720.95,49709.81,49719.58,2.23,110878.92,49713.22,direct,,EUR
1617644400,49719.62,49705.0,49713.22,5.068,251940.99,49718.2,direct,,EUR
1617644460,49796.42,49718.15,49718.2,10.29,512601.35,49796.42,direct,,EUR
1617644520,49807.01,49791.42,49796.42,1.047,52146.42,49807.01,direct,,EUR
1617644580,49830.81,49804.25,49807.01,5.311,264451.45,49820.48,direct,,EUR
