time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol,currency
1617616020,48976.33,48942.45,48976.21,6.876,336627.14,48974.98,direct,,EUR
1617616080,49007.16,48974.98,48974.98,4.608,225679.09,49001.1,direct,,EUR
1617616140,49021.61,49001.1,49001.1,7.475,366430.61,49019.56,direct,,EUR
1617616200,49050.34,49017.82,49019.56,15.55,762081.2,49040.7,direct,,EUR
1617616260,49054.29,49036.16,49040.7,4.991,244821.35,49047.66,direct,,EUR
1617616320,49061.87,49045.08,49047.66,3.954,193856.81,49058.06,direct,,EUR
1617616380,49058.06,49036.6,49058.06,2.439,119670.74,49038.38,direct,,EUR
1617616440,49039.67,49024.11,49038.38,2.229,109357.26,49038.57,direct,,EUR
1617616500,49039.93,49031.65,49038.57,3.346,164119.31,49031.65,direct,,EUR
1617616560,49038.55,49027.59,49031.65,3.206,157172.48,49036.4,direct,,EUR
1617616620,49058.04,49036.4,49036.4,7.272,356538.88,49058.04,direct,,EUR
1617616680,49064.29,49052.52,49058.04,6.656,326298.12,49053.45,direct,,EUR
1617616740,49093.32,49043.8,49053.45,12.75,625633.46,49091.05,direct,,EUR
1617616800,49093.23,49074.54,49091.05,3.71,182120.97,49083.55,direct,,EUR
1617616860,49086.33,49057.33,49083.55,3.578,175665.13,49060.18,direct,,EUR
1617616920,49087.72,49060.18,49060.18,4.174,204880.8,49084.44,direct,,EUR
1617616980,49085.32,49057.69,49084.44,8.512,417635.35,49059.35,direct,,EUR
1617617040,49072.01,49058.6,49059.35,2.982,146313.3,49069.57,direct,,EUR
1617617100,49074.93,49057.14,49069.57,2.043,100290.12,49063.91,direct,,EUR
1617617160,49063.91,49037.07,49063.91,22.5,1102275.13,49046.44,direct,,EUR
1617617220,49073.09,49043.41,49046.44,5.8870000000000005,288690.54,49062.53,direct,,EUR
1617617280,49062.89,49028.48,49062.53,4.676,229270.25,49029.43,direct,,EUR
1617617340,49029.83,49017.57,49029.43,11.07,542777.33,49021.47,direct,,EUR
1617617400,49046.83,49021.47,49021.47,4.553,223337.05,49046.83,direct,,EUR
1617617460,49048.81,49031.16,49046.83,2.68,131501.06,49031.16,direct,,EUR
1617617520,49033.69,49021.15,49031.16,5.245,257242.72,49030.38,direct,,EUR
1617617580,49036.54,49026.08,49030.38,1.096,53777.14,49031.95,direct,,EUR
1617617640,49033.61,49022.62,49031.95,1.579,77442.78,49028.36,direct,,EUR
1617617700,49028.36,49009.82,49028.36,6.222,304855.35,49020.25,direct,,EUR
1617617760,49022.6,49005.63,49020.25,1.266,62093.88,49007.25,direct,,EUR
1617617820,49007.5,48987.91,49007.25,2.167,106198.36,48990.9,direct,,EUR
1617617880,49001.45,48986.11,48990.9,0.9306000000000001,45617.23,48991.32,direct,,EUR
1617617940,48998.16,48989.37,48991.32,2.258,110581.95,48997.57,direct,,EUR
1617618000,49012.75,48991.11,48997.57,2.5140000000000002,123131.26,49011.75,direct,,EUR
1617618060,49052.72,49003.95,49021.13,88.66,4345139.86,49009.02,invert_divide,ETH,EUR
1617618120,49004.61,48995.13,48997.6,10.74,526812.72,49000.39,direct,,EUR
1617618180,49012.61,48999.08,49000.39,1.088,53338.64,49006.9,direct,,EUR
1617618240,49006.9,48994.78,49006.9,2.12,103924.1,48996.63,direct,,EUR
1617618300,49007.05,48985.63,49000.0,48.24,2363923.16,49003.38,invert_divide,ETH,EUR
1617618360,49005.86,48994.54,48998.94,1.484,72726.42,49000.44,direct,,EUR
1617618420,49003.39,48989.56,49000.44,1.8980000000000001,93069.49,48989.96,direct,,EUR
1617618480,48989.96,48976.96,48989.96,2.5060000000000002,122870.31,48986.04,direct,,EUR
1617618540,48996.34,48983.84,48986.04,4.518,221554.32,48992.85,direct,,EUR
1617618600,49001.62,48990.35,48992.85,1.161,56915.62,49001.62,direct,,EUR
1617618660,49003.27,48945.37,49001.62,6.362,311457.35,48946.13,direct,,EUR
1617618720,48967.33,48945.26,48946.13,2.8369999999999997,138897.53,48952.76,direct,,EUR
1617618780,48955.82,48935.2,48952.76,3.226,157934.77,48936.7,direct,,EUR
1617618840,48945.0,48933.78,48936.7,4.624,226465.94,48937.47,direct,,EUR
1617618900,48940.0,48923.76,48937.47,2.66,130295.93,48923.76,direct,,EUR
1617618960,48935.74,48917.81,48923.76,3.71,181602.47,48930.42,direct,,EUR
1617619020,48947.42,48930.42,48930.42,1.742,85285.96,48939.6,direct,,EUR
1617619080,48939.6,48928.92,48939.6,1.213,59391.08,48928.92,direct,,EUR
1617619140,48939.18,48921.26,48928.92,3.795,185857.75,48939.03,direct,,EUR
1617619200,48949.67,48939.03,48939.03,0.9788,47913.31,48949.67,direct,,EUR
1617619260,48950.71,48942.77,48949.67,2.036,99775.24,48949.42,direct,,EUR
1617619320,48950.43,48944.23,48949.42,1.552,75974.29,48948.17,direct,,EUR
1617619380,48955.27,48945.69,48948.17,2.956,144699.63,48955.27,direct,,EUR
1617619440,48955.27,48946.8,48955.27,2.501,122475.21,48954.37,direct,,EUR
1617619500,48957.38,48948.35,48954.37,3.6390000000000002,178161.0,48954.83,direct,,EUR
1617619560,48994.91,48954.82,48954.83,9.208,451249.26,48972.88,direct,,EUR
1617619620,49005.85,48972.88,48972.88,2.079,101890.38,48997.87,direct,,EUR
1617619680,49008.58,48997.84,48997.87,4.207,206100.94,49008.58,direct,,EUR
1617619740,49021.55,49006.75,49008.58,5.414,265000.14,49013.66,direct,,EUR
1617619800,49033.56,49012.06,49013.66,5.271,258096.63,49030.09,direct,,EUR
1617619860,49042.04,49030.09,49030.09,8.023,393372.98,49036.02,direct,,EUR
1617619920,49101.53,49036.02,49036.02,11.63,570727.36,49101.53,direct,,EUR
1617619980,49113.18,49063.28,49101.53,10.06,494011.21,49063.28,direct,,EUR
1617620040,49085.43,49063.28,49063.28,1.866,91593.2,49085.1,direct,,EUR
1617620100,49094.91,49081.95,49085.1,2.206,108373.43,49089.76,direct,,EUR
1617620160,49148.52,49089.76,49089.76,9.467,464870.81,49139.25,direct,,EUR
1617620220,49166.77,49132.26,49139.25,4.312,211924.72,49145.48,direct,,EUR
1617620280,49150.1,49135.61,49145.48,2.51,123370.06,49142.45,direct,,EUR
1617620340,49173.68,49142.45,49142.45,4.615,226894.07,49160.05,direct,,EUR
1617620400,49184.9,49153.78,49160.05,9.064,445684.5,49168.95,direct,,EUR
1617620460,49172.46,49134.84,49168.95,2.9619999999999997,145698.02,49134.84,direct,,EUR
1617620520,49134.95,49098.66,49134.84,1.759,86408.2,49107.54,direct,,EUR
1617620580,49108.78,49082.87,49107.54,1.365,67039.32,49088.44,direct,,EUR
1617620640,49111.96,49084.55,49088.44,5.169,253725.16,49107.51,direct,,EUR
1617620700,49122.81,49100.86,49107.51,1.417,69587.58,49118.53,direct,,EUR
1617620760,49120.21,49079.97,49118.53,5.617,275631.26,49086.46,direct,,EUR
1617620820,49093.75,49082.14,49086.46,1.588,77963.15,49092.93,direct,,EUR
1617620880,49154.98,49092.59,49092.93,4.255,209109.96,49144.24,direct,,EUR
1617620940,49144.24,49110.99,49144.24,4.065,199617.98,49110.99,direct,,EUR
1617621000,49110.99,49086.15,49110.99,3.91,192101.58,49086.15,direct,,EUR
1617621060,49103.02,49086.15,49086.15,1.348,66208.49,49093.44,direct,,EUR
1617621120,49114.23,49086.95,49093.44,1.548,75981.55,49113.99,direct,,EUR
1617621180,49126.48,49105.82,49113.99,3.598,176812.35,49121.86,direct,,EUR
1617621240,49124.78,49110.39,49121.86,2.083,102344.03,49111.9,direct,,EUR
1617621300,49118.38,49097.65,49111.9,1.209,59383.71,49118.37,direct,,EUR
1617621360,49139.53,49118.37,49118.37,1.714,84208.69,49129.33,direct,,EUR
1617621420,49129.79,49103.04,49136.3,172.12,8453165.97,49112.05,invert_divide,ETH,EUR
1617621480,49165.65,49119.69,49121.16,5.668,278585.97,49165.57,direct,,EUR
1617621540,49189.14,49165.57,49165.57,5.963,293337.24,49171.94,direct,,EUR
1617621600,49174.63,49138.4,49171.94,4.905,241167.11,49144.51,direct,,EUR
1617621660,49156.16,49141.68,49144.51,1.464,71945.04,49142.31,direct,,EUR
1617621720,49145.78,49122.36,49142.31,2.411,118500.86,49122.38,direct,,EUR
1617621780,49122.73,49108.64,49122.38,6.359,312370.6,49113.44,direct,,EUR
1617621840,49121.84,49100.42,49113.44,2.006,98500.52,49102.03,direct,,EUR
1617621900,49111.83,49099.23,49102.03,1.276,62697.11,49103.24,direct,,EUR
1617621960,49103.24,49079.24,49103.24,3.903,191355.94,49080.9,direct,,EUR
1617622020,49095.57,49070.15,49080.9,3.081,151102.06,49095.12,direct,,EUR
1617622080,49098.8,49076.83,49095.12,2.344,115112.28,49088.77,direct,,EUR
1617622140,49130.27,49088.77,49088.77,2.681,131745.64,49129.57,direct,,EUR
1617622200,49133.33,49113.59,49129.57,4.425,217447.3,49113.8,direct,,EUR
1617622260,49113.8,49097.03,49113.8,1.108,54398.89,49100.78,direct,,EUR
1617622320,49106.05,49095.83,49100.78,4.32,212145.89,49103.48,direct,,EUR
1617622380,49104.55,49097.11,49103.48,3.292,161739.13,49102.35,direct,,EUR
1617622440,49105.53,49085.63,49102.35,3.832,188125.41,49087.64,direct,,EUR
1617622500,49100.65,49086.53,49087.64,5.418,266210.43,49100.65,direct,,EUR
1617622560,49148.82,49100.65,49100.65,3.496,171751.24,49141.97,direct,,EUR
1617622620,49150.67,49108.3,49141.97,5.078,249569.27,49116.01,direct,,EUR
1617622680,49121.44,49111.48,49116.01,2.981,146452.66,49117.4,direct,,EUR
1617622740,49170.41,49056.99,49125.95,316.13,15541579.15,49161.99,invert_divide,ETH,EUR
1617622800,49159.39,49113.79,49159.39,6.244,306939.86,49113.79,direct,,EUR
1617622860,49123.22,49112.35,49113.79,2.946,144747.0,49112.35,direct,,EUR
1617622920,49129.81,49109.73,49112.35,3.807,187089.15,49129.8,direct,,EUR
1617622980,49142.16,49105.79,49129.8,5.517,271060.7,49125.74,direct,,EUR
1617623040,49131.95,49120.16,49125.74,4.114,202132.17,49131.95,direct,,EUR
1617623100,49136.27,49114.26,49131.95,4.172,204976.96,49116.48,direct,,EUR
1617623160,49121.83,49104.31,49116.48,4.201,206345.65,49106.68,direct,,EUR
1617623220,49115.44,49106.12,49106.68,5.513,270737.27,49108.53,direct,,EUR
1617623280,49113.11,49100.66,49108.53,3.335,163839.06,49104.05,direct,,EUR
1617623340,49110.49,49094.99,49104.05,3.451,169434.19,49103.14,direct,,EUR
1617623400,49103.77,49085.77,49103.14,5.451,267491.97,49095.02,direct,,EUR
1617623460,49101.38,49092.33,49095.02,2.058,101099.72,49098.46,direct,,EUR
1617623520,49106.71,49090.98,49098.46,2.944,144589.73,49095.7,direct,,EUR
1617623580,49095.71,49083.56,49095.7,5.554,272742.78,49087.99,direct,,EUR
1617623640,49094.52,49083.18,49087.99,3.065,150502.63,49093.14,direct,,EUR
1617623700,49107.75,49087.22,49093.14,5.655,277807.14,49107.42,direct,,EUR
1617623760,49113.3,49102.17,49107.42,5.029,246938.85,49113.3,direct,,EUR
1617623820,49127.19,49106.55,49113.3,2.847,139847.75,49127.18,direct,,EUR
1617623880,49144.41,49127.18,49127.18,5.574,274024.87,49142.81,direct,,EUR
1617623940,49185.79,49140.08,49142.81,13.05,642061.18,49185.38,direct,,EUR
1617624000,49246.14,49185.26,49185.38,11.81,581335.86,49244.42,direct,,EUR
1617624060,49245.59,49216.11,49244.42,8.917,439083.5,49217.43,direct,,EUR
1617624120,49238.09,49211.52,49217.43,4.859,239242.73,49238.08,direct,,EUR
1617624180,49278.7,49238.08,49238.08,8.97,441883.56,49272.84,direct,,EUR
1617624240,49277.05,49232.92,49272.84,7.506,369898.45,49271.72,direct,,EUR
1617624300,49304.38,49269.52,49271.72,15.38,758956.0,49290.71,direct,,EUR
